ticker,start_date_actual,start_price,end_date_actual,end_price,raw_return,normal_return_spy,excess_return,cluster,CAR,MaxDrawdown,Volatility,label
DBD,2025-01-27,43.49,2025-02-10,44.09,0.013796275005748537,0.009142900901601747,0.00465337410414679,1,-0.013160294232408387,-0.03840877914952001,0.019734886246985498,Vulnerable
DBX,2025-01-27,32.0,2025-02-10,31.98,-0.0006249999999999867,0.009142900901601747,-0.009767900901601734,1,0.021272689084877117,-0.02233782129742945,0.011508373480621652,Vulnerable
DCBO,2025-01-27,42.71,2025-02-10,42.69,-0.00046827440880359283,0.009142900901601747,-0.00961117531040534,1,-0.0063034129962913354,-0.04832369942196535,0.01379864321270342,Vulnerable
DDD,2025-01-27,4.0,2025-02-10,4.4,0.10000000000000009,0.009142900901601747,0.09085709909839834,1,0.17034941351298438,-0.10000000000000009,0.08270009948511052,Vulnerable
DDL,2025-01-27,3.37,2025-02-10,3.43,0.017804154302670572,0.009142900901601747,0.008661253401068825,1,0.010308469498106487,-0.05444126074498579,0.022627747929168836,Vulnerable
DDOG,2025-01-27,142.16,2025-02-10,147.1,0.03474957794034883,0.009142900901601747,0.025606677038747083,1,0.05141529732270411,-0.06109684640200119,0.02875802905040245,Vulnerable
DELL,2025-01-27,101.9474,2025-02-10,110.2631,0.08156853436183753,0.009142900901601747,0.07242563346023578,1,-0.00017738259995270234,-0.0499285022996252,0.038358484345920256,Vulnerable
DGII,2025-01-27,30.79,2025-02-10,35.64,0.15751867489444638,0.009142900901601747,0.14837577399284463,1,0.12752898307133442,-0.04191999999999996,0.0572466139404917,Vulnerable
DH,2025-01-27,4.62,2025-02-10,5.35,0.15800865800865793,0.009142900901601747,0.14886575710705618,1,0.11693655837673766,-0.051896207584830156,0.04386790356671235,Vulnerable
DIOD,2025-01-27,60.08,2025-02-10,53.3,-0.11284953395472708,0.009142900901601747,-0.12199243485632882,1,-0.12045391661925486,-0.11284953395472719,0.02553319640655516,Vulnerable
DJT,2025-01-27,29.535,2025-02-10,31.21,0.056712375148129324,0.009142900901601747,0.04756947424652758,1,-0.03114696896420599,-0.05363267851574671,0.04632013906821747,Vulnerable
DMRC,2025-01-27,38.44,2025-02-10,35.14,-0.08584807492195623,0.009142900901601747,-0.09499097582355798,1,-0.12310673909603709,-0.10922641994345927,0.026393858737839674,Vulnerable
DOCN,2025-01-27,40.14,2025-02-10,45.93,0.14424514200298955,0.009142900901601747,0.1351022411013878,1,0.142273986695449,-0.04121991898975452,0.02409214070274473,Vulnerable
DOCS,2025-01-27,55.35,2025-02-10,83.14,0.5020776874435411,0.009142900901601747,0.49293478654193934,1,0.44485571935198,-0.01624365482233492,0.10799600452248657,Vulnerable
DOCU,2025-01-27,92.26,2025-02-10,90.86,-0.015174506828528167,0.009142900901601747,-0.024317407730129914,1,-6.685997612820849e-05,-0.07389969293756404,0.02543480089692367,Vulnerable
DOMO,2025-01-27,7.955,2025-02-10,8.375,0.05279698302954117,0.009142900901601747,0.04365408212793942,1,0.0948983869160197,-0.08369803063457326,0.029607323714230954,Vulnerable
DOX,2025-01-27,83.8584,2025-02-10,82.9783,-0.010495072646270365,0.009142900901601747,-0.019637973547872112,1,0.011677695868213323,-0.027100576036730994,0.012250482349428729,Vulnerable
DOYU,2025-01-27,5.9742,2025-02-10,6.0392,0.0108801178400455,0.009142900901601747,0.001737216938443753,1,0.01049040036400195,-0.04646719823162537,0.022247511029598845,Vulnerable
DQ,2025-01-27,17.62,2025-02-10,22.23,0.26163450624290574,0.009142900901601747,0.252491605341304,1,0.2218762393303605,-0.04371584699453568,0.04578228998212737,Vulnerable
DSGX,2025-01-27,116.55,2025-02-10,122.5,0.05105105105105112,0.009142900901601747,0.041908150149449375,1,0.033757062363873214,-0.016829579260518424,0.014000164731483111,Vulnerable
DSP,2025-01-27,20.2,2025-02-10,25.0,0.2376237623762376,0.009142900901601747,0.22848086147463587,1,0.2073779297561148,-0.010393131495707308,0.025935501568430806,Vulnerable
DT,2025-01-27,56.46,2025-02-10,61.21,0.08413035777541622,0.009142900901601747,0.07498745687381447,1,0.10146136954832374,-0.010182947877114157,0.012651196941937951,Vulnerable
DUOL,2025-01-27,326.82,2025-02-10,401.45,0.22835199804173545,0.009142900901601747,0.2192090971401337,1,0.21007901910349158,-0.00673469387755099,0.02560390746127682,Vulnerable
DV,2025-01-27,20.26,2025-02-10,21.96,0.08390918065152997,0.009142900901601747,0.07476627974992822,1,0.09890368525422544,-0.016772438803263734,0.015463482157058483,Vulnerable
DXC,2025-01-27,21.33,2025-02-10,20.23,-0.05157055789967169,0.009142900901601747,-0.060713458801273434,1,-0.03313068881641701,-0.10526315789473684,0.02640115222847522,Vulnerable
EA,2025-01-27,117.2372,2025-02-10,131.3363,0.12026131637398363,0.009142900901601747,0.11111841547238188,1,0.1343918018672715,-0.025757580375292966,0.027791754683540597,Vulnerable
EAF,2025-01-27,16.3,2025-02-10,11.4,-0.3006134969325154,0.009142900901601747,-0.3097563978341171,1,-0.3301576756512101,-0.30061349693251516,0.05584014747557017,Vulnerable
EB,2025-01-27,3.68,2025-02-10,3.5,-0.048913043478260865,0.009142900901601747,-0.05805594437986261,1,0.05557814811272532,-0.15217391304347838,0.04482818374443995,Vulnerable
ECX,2025-01-27,1.75,2025-02-10,1.91,0.09142857142857141,0.009142900901601747,0.08228567052696967,1,0.06521230435833403,-0.08522727272727271,0.04930750029712144,Vulnerable
EGHT,2025-01-27,2.81,2025-02-10,2.86,0.017793594306049654,0.009142900901601747,0.008650693404447907,1,0.020504550048662917,-0.09731543624161076,0.041708731262845584,Vulnerable
ENPH,2025-01-27,63.95,2025-02-10,63.05,-0.014073494917904661,0.009142900901601747,-0.023216395819506408,1,0.003128029993933912,-0.05202225229288837,0.02519008857121863,Vulnerable
EPAM,2025-01-27,252.06,2025-02-10,260.0,0.031500436404030774,0.009142900901601747,0.022357535502429027,1,0.03523045371728328,-0.01767656972642484,0.012673891640128726,Vulnerable
ERIC,2025-01-27,7.3605,2025-02-10,7.2843,-0.010352557570817211,0.009142900901601747,-0.01949545847241896,1,0.00975306619657701,-0.03363901908837719,0.013908188566816233,Vulnerable
