companyid,companyname,n_sentences,mean_p_positive,mean_p_negative,mean_p_neutral,mean_sentiment,std_sentiment,pct_negative,pct_neutral,pct_positive,ratio_strong_negative,ratio_strong_positive
108788945,"Phunware, Inc.",284,0.24782340964761523,0.08049725381736185,0.6716793375286523,0.1673261558302534,0.37184817385638347,0.06338028169014084,0.7394366197183099,0.19718309859154928,0.05985915492957746,0.19718309859154928
109373551,"Okta, Inc.",533,0.26196913029753915,0.060989898191782424,0.6770409748104959,0.20097923210575674,0.3652590458267074,0.03377110694183865,0.7410881801125704,0.225140712945591,0.03189493433395872,0.225140712945591
111528632,"Pure Storage, Inc.",330,0.34679029664927813,0.07920629435472867,0.5740034086375752,0.26758400229454943,0.43602420526350255,0.06363636363636363,0.6181818181818182,0.3181818181818182,0.05757575757575758,0.31212121212121213
115222699,Viant Technology Inc.,294,0.45101544587258374,0.049650789976601495,0.4993337661116606,0.40136465589598225,0.4267623676798172,0.023809523809523808,0.5238095238095238,0.4523809523809524,0.023809523809523808,0.445578231292517
115620169,Vipshop Holdings Limited,193,0.42262511332688246,0.16824709366128776,0.40912778990179144,0.2543780196655947,0.5448767437879825,0.16580310880829016,0.39378238341968913,0.44041450777202074,0.16062176165803108,0.43523316062176165
116060746,"PagerDuty, Inc.",344,0.4563916354050297,0.06421019836074435,0.47939816500645044,0.3921814370442853,0.44196225706905584,0.0377906976744186,0.5087209302325582,0.45348837209302323,0.0377906976744186,0.4476744186046512
118171469,"Health Catalyst, Inc.",393,0.4294457945110082,0.07724366050436335,0.4933105475262149,0.35220213400664485,0.458019690583988,0.06615776081424936,0.5063613231552163,0.42748091603053434,0.061068702290076333,0.4223918575063613
126751161,"Nutanix, Inc.",341,0.29602501488664895,0.08836746702511464,0.6156075241759725,0.20765754786153431,0.40592171575884994,0.06451612903225806,0.6891495601173021,0.24633431085043989,0.05571847507331378,0.2375366568914956
128585388,"Doximity, Inc.",327,0.4035941458076512,0.05341413107897164,0.5429917217918675,0.35018001472867955,0.4031016977092183,0.021406727828746176,0.5963302752293578,0.382262996941896,0.021406727828746176,0.382262996941896
133833909,"Shoals Technologies Group, Inc.",402,0.3453801504651372,0.12142539078796014,0.5331944581561383,0.22395475967717704,0.47853030969672555,0.09950248756218906,0.5597014925373134,0.3407960199004975,0.0945273631840796,0.3308457711442786
134031691,Xunlei Limited,106,0.39420786335677754,0.25730184780187765,0.34849028604737714,0.13690601555489987,0.6605825837711075,0.2830188679245283,0.330188679245283,0.3867924528301887,0.2830188679245283,0.3867924528301887
134231191,"Marqeta, Inc.",345,0.3179757169717788,0.1494878042259834,0.532536476213431,0.1684879127457954,0.5165945388958708,0.13043478260869565,0.5884057971014492,0.2811594202898551,0.12753623188405797,0.2753623188405797
134521275,"Datadog, Inc.",355,0.3671802881803416,0.06458012123238033,0.5682395922885815,0.30260016694796127,0.4179028235014233,0.036619718309859155,0.6225352112676056,0.3408450704225352,0.036619718309859155,0.3408450704225352
138672527,"MACOM Technology Solutions Holdings, Inc.",351,0.43146808600408737,0.114624014394915,0.4539078962577884,0.3168440716091724,0.5118318805587466,0.09686609686609686,0.48148148148148145,0.42165242165242167,0.09401709401709402,0.4188034188034188
